IsolateID	g_sp	Inhibitory	L1	L2	L3
13C	Hafnia_alvei	Inhib	NA	NA	10
20A	Bacillus_wiedmannii	Inhib	NA	NA	10
20A	Bacillus_wiedmannii	Inhib	NA	NA	10
20C	Buttiauxella_noackiae	Non	NA	NA	10
24C	Rahnella_aquatilis	Non	NA	NA	10
24D	Viridibacillus_arvi	Non	NA	NA	10
25A	Pseudomonas_asturiensis	Non	NA	NA	10
25A	Pseudomonas_asturiensis	Non	NA	NA	10
25C	Yersinia_kristensenii	Non	NA	NA	10
25C	Yersinia_kristensenii	Non	NA	NA	10
2E	Pseudomonas_lurida	Inhib	NA	NA	10
2H	Acinetobacter_radioresistens	Inhib	NA	NA	10
32E	Pseudomonas_mucidolens	Inhib	NA	NA	10
32E	Pseudomonas_mucidolens	Inhib	1	3	10
32G	Stenotrophomonas_pavanii	Non	NA	3	10
33B	Stenotrophomonas_maltophilia	Inhib	NA	NA	10
33D	Methylorubrum_extorquens	Inhib	NA	NA	10
34B	Pseudomonas_brenneri	Inhib	NA	3	10
34B	Pseudomonas_brenneri	Inhib	NA	NA	10
35A	Phyllobacterium_myrsinacearum	Inhib	1	3	10
35A	Phyllobacterium_myrsinacearum	Inhib	NA	NA	10
35B	Frondihabitans_peucedani	Non	NA	NA	10
35E	Pseudomonas_chlororaphis	Inhib	NA	3	10
36E	Methylobacterium_mesophilicum	Non	NA	NA	10
36G	Arthrobacter_citreus	Non	NA	NA	10
40A	Microbacterium_deminutum	Non	NA	3	10
40A	Microbacterium_deminutum	Non	1	3	10
45D	Rahnella_inusitata	Inhib	NA	NA	10
45D	Rahnella_inusitata	Inhib	NA	NA	10
45E	Obesumbacterium_proteus	Non	NA	NA	10
47C	Kocuria_rhizophila	Non	NA	NA	10
47C	Kocuria_rhizophila	Non	NA	NA	10
50A	Delftia_acidovorans	Inhib	NA	NA	10
50B	Chryseobacterium_lactis	Inhib	NA	NA	10
54G	Serratia_fonticola	Non	1	3	10
54G	Serratia_fonticola	Non	NA	NA	10
BTB_45	Pseudomonas_protegens	Inhib	NA	3	10
BTB_45	Pseudomonas_protegens	Inhib	NA	3	10
BTB_59	Pseudomonas_lactis	Non	NA	3	10
BTB_59	Pseudomonas_lactis	Non	NA	3	10
