SampleID	Proportion	Number	TotalRich	TreatmentName	Exposure	Rep
P0.5_R5_5_Rep4	0.5	5	10	P0.5_R5_5	y	4
P0.5_R10_10_Rep4	0.5	10	20	P0.5_R10_10	y	4
P0.75_R2_1_Rep4	0.75	2	3	P0.75_R2_1	y	4
P0.75_R5_2_Rep4	0.75	5	7	P0.75_R5_2	y	4
P0.75_R10_3_Rep4	0.75	10	13	P0.75_R10_3	y	4
P1_R1_0_Rep4	1	1	1	P1_R1_0	y	4
P1_R2_0_Rep4	1	2	2	P1_R2_0	y	4
P1_R5_0_Rep4	1	5	5	P1_R5_0	y	4
P1_R10_0_Rep4	1	10	10	P1_R10_0	y	4
P0_R0_0_Rep4	0	0	0	P0_R0_0	y	4
P0_R0_3_Rep4	0	0	3	P0_R0_3	y	4
P0_R0_6_Rep4	0	0	6	P0_R0_6	y	4
P0_R0_15_Rep4	0	0	15	P0_R0_15	y	4
P0_R0_30_Rep4	0	0	30	P0_R0_30	y	4
P0_R0_1_Rep4	0	0	1	P0_R0_1	y	4
P0_R0_2_Rep4	0	0	2	P0_R0_2	y	4
P0_R0_5_Rep4	0	0	5	P0_R0_5	y	4
P0_R0_10_Rep4	0	0	10	P0_R0_10	y	4
P0_R0_0_Rep4	0	0	0	P0_R0_0	n	4
P0.25_R1_3_Rep5	0.25	1	4	P0.25_R1_3	y	5
P0.25_R2_6_Rep5	0.25	2	8	P0.25_R2_6	y	5
P0.25_R5_15_Rep5	0.25	5	20	P0.25_R5_15	y	5
P0.25_R10_30_Rep5	0.25	10	40	P0.25_R10_30	y	5
P0.5_R1_1_Rep5	0.5	1	2	P0.5_R1_1	y	5
P0.5_R2_2_Rep5	0.5	2	4	P0.5_R2_2	y	5
P0.5_R5_5_Rep5	0.5	5	10	P0.5_R5_5	y	5
P0.5_R10_10_Rep5	0.5	10	20	P0.5_R10_10	y	5
P0.75_R2_1_Rep5	0.75	2	3	P0.75_R2_1	y	5
P0.75_R5_2_Rep5	0.75	5	7	P0.75_R5_2	y	5
P0.75_R10_3_Rep5	0.75	10	13	P0.75_R10_3	y	5
P1_R1_0_Rep5	1	1	1	P1_R1_0	y	5
P1_R2_0_Rep5	1	2	2	P1_R2_0	y	5
P1_R5_0_Rep5	1	5	5	P1_R5_0	y	5
P1_R10_0_Rep5	1	10	10	P1_R10_0	y	5
P0_R0_0_Rep5	0	0	0	P0_R0_0	y	5
P0_R0_3_Rep5	0	0	3	P0_R0_3	y	5
P0_R0_6_Rep5	0	0	6	P0_R0_6	y	5
P0_R0_15_Rep5	0	0	15	P0_R0_15	y	5
P0_R0_30_Rep5	0	0	30	P0_R0_30	y	5
P0_R0_1_Rep5	0	0	1	P0_R0_1	y	5
P0_R0_2_Rep5	0	0	2	P0_R0_2	y	5
P0_R0_5_Rep5	0	0	5	P0_R0_5	y	5
P0_R0_10_Rep5	0	0	10	P0_R0_10	y	5
P0_R0_0_Rep5	0	0	0	P0_R0_0	n	5
