ASVID	inhibitory_probability_alex	inhibitory_probability_woodhams	inhibitory_probability_tree	tree_cophen_dist	avePercIdent_blast_woodhams	avePercIdent_blast_alex	Matched_AlexID	knownInhibitory	Inhibitory01	dataset	IsolateID	Isolate	tipColInhib	tipColDataset
e8b33446e2061105dd7703ad4d1ca443	NA	NA	0.577222096317644	0.40314467046	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
8591bffc07a87a1cee4dd8f1b2ed0c22	NA	0.5	NA	NA	98.814	NA	NA	NA	NA	mine	NA	NA	grey	red
437ad1ce6fee1e0aa1a4d2733cc25507	NA	NA	0	0.48625987352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
efbe1f58b1e2984ddc53a64f047d94ff	NA	0.666666666666667	0.666666666666667	0	100	NA	NA	NA	NA	mine	NA	NA	grey	red
c9c543ff91a8ab3fb9453288ca634980	NA	0	0.475711985200183	0.04376702352	98.419	NA	NA	NA	NA	mine	NA	NA	grey	red
b42b4831fac29e69d05d2cfc575e033d	NA	1	0.600055955876922	0.18348387352	97.628	NA	NA	NA	NA	mine	NA	NA	grey	red
f48cbba2fe7a2cba3df1c5bcffc1fa83	NA	1	0.599727254027512	0.17084418704	98.024	NA	NA	NA	NA	mine	NA	NA	grey	red
0f53352fb818bd79fede425db2944d14	NA	NA	0.336003457652245	0.29012964752	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
4e5ff310075a50266f9d480989d68398	NA	NA	0.335907150332192	0.27584529352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
acccb7cec4d146864bc11d37da55dcd0	NA	NA	0	0.46096449704	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
a47389c06499a664dc9046a142cd46e3	NA	0	0.881982344301831	0.20044931352	97.233	NA	NA	NA	NA	mine	NA	NA	grey	red
ec662628330038e4e60be34e6af3a590	NA	1	0.888582824172849	0.04251970352	97.647	NA	NA	NA	NA	mine	NA	NA	grey	red
6a977f4dfc024f877a378488b16d99d6	NA	1	0.799876193511747	0.08887992352	98.122	NA	NA	NA	NA	mine	NA	NA	grey	red
9490831f0e20dbae4c12c0bf632a13f2	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
b9001ab2e02fe02a76989fae3579dc54	NA	1	0.689478586956373	0.34829179352	97.196	NA	NA	NA	NA	mine	NA	NA	grey	red
25cb02fb17426d878afd69a79572b858	NA	1	0.489118228830211	0.25663035704	98.419	NA	NA	NA	NA	mine	NA	NA	grey	red
df71de0e92459aa808364311135bb8fc	NA	1	1	0	100	97.638	BTB_47-27F_D04.ab1	NA	NA	mine	NA	NA	grey	red
4f31fc43bb2ba611fa37c25e788fecf7	NA	0	0.50969980662535	0.17106445704	99.209	NA	NA	NA	NA	mine	NA	NA	grey	red
3eeb4a6278652363d350b5391ebeb470	NA	1	0.508878827003625	0.13354039704	98.419	NA	NA	NA	NA	mine	NA	NA	grey	red
f486933ad98321210ac2fe43bfb56b14	NA	0.666666666666667	0.491499779343143	0.23833308352	98.419	97.656	BTB_28-27F_B09.ab1	NA	NA	mine	NA	NA	grey	red
8012da7c810e58147175f741af2a78d2	NA	0.666666666666667	0.503329469550866	0.14548400352	99.209	98.438	BTB_28-27F_B09.ab1	NA	NA	mine	NA	NA	grey	red
6a2fa8a4363f93d2cba407af24a766e4	NA	0.666666666666667	0.503329985528064	0.14547760352	99.209	98.438	BTB_28-27F_B09.ab1	NA	NA	mine	NA	NA	grey	red
